node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
5,58,0.436999,0.817163,269.746839,77.008076,0.033705
5,59,0.175636,0.774372,418.051785,197.098731,0.086266
5,60,0.272123,0.715410,294.881826,73.298804,0.032081
5,61,0.155562,0.708172,419.210385,79.671061,0.034870
5,62,0.209966,0.729056,345.457068,168.574921,0.073781
5,63,0.183997,0.726083,368.283186,129.246180,0.056568
5,64,0.216003,0.822899,453.461101,309.121950,0.135296
5,65,0.165741,0.761352,425.533193,192.182650,0.084114
5,66,0.170201,0.760096,414.897470,166.564851,0.072902
5,67,0.748010,0.826895,429.481150,557.786126,0.244130
5,68,0.566743,0.749548,316.497043,185.785244,0.081314
5,69,0.204393,0.762605,376.014447,241.688314,0.105781
6,7,0.123157,0.776005,790.248481,653.370237,0.285965
6,8,0.172105,0.940455,248.560570,132.897425,0.058166
6,9,0.133908,0.855171,924.639502,1059.873146,0.463882
6,10,0.135422,0.721398,392.448983,318.844040,0.139551
6,11,0.285634,0.703070,237.110906,120.494334,0.052738
6,12,0.082682,0.777714,502.129359,408.588106,0.178830
6,13,0.113704,0.658688,455.502178,111.897153,0.048975
6,14,0.116079,0.669432,340.182102,221.709450,0.097037
6,15,0.138841,0.709847,365.498139,127.054445,0.055609
6,16,0.449298,0.813126,518.909520,536.190934,0.234678
6,17,0.135751,0.736930,382.598793,108.594380,0.047529
6,18,0.132838,0.681905,305.535736,194.766882,0.085245
6,19,0.138486,0.726711,410.287251,198.116528,0.086711
6,20,0.194410,0.701976,256.824877,123.546800,0.054074
6,21,0.149848,0.682434,287.601485,172.694204,0.075584
6,22,0.126475,0.757129,496.314773,104.425835,0.045705
6,23,0.144432,0.704558,341.177284,151.889913,0.066479
6,24,0.162214,0.798211,500.236534,489.481792,0.214235
6,25,0.133581,0.708755,428.754801,147.971675,0.064764
6,26,0.201095,0.797131,216.709501,106.746252,0.046720
6,27,0.181670,0.788106,223.771016,108.685862,0.047569
6,28,0.122473,0.709528,1322.263939,144.924927,0.063430
6,29,0.417383,0.707615,232.049860,124.799608,0.054622
6,30,0.167541,0.913394,1336.089691,1245.106693,0.544955
6,31,0.164080,0.709721,285.564144,144.156273,0.063094
6,32,0.177912,0.728985,332.654128,254.990812,0.111604
6,33,0.159737,0.706001,303.684096,152.815672,0.066884
6,34,0.170954,0.716201,313.503541,233.247354,0.102087
6,35,0.259974,0.707118,254.418682,148.423164,0.064961
6,36,0.132099,0.816461,647.874213,478.381475,0.209377
6,37,0.133068,0.710383,438.816190,149.475533,0.065422
6,38,0.183650,0.779095,432.514094,300.062073,0.131330
6,39,0.128354,0.777223,621.305463,318.404744,0.139358
6,40,0.166199,0.709204,303.949935,183.796943,0.080444
6,41,0.462935,0.726925,296.035219,259.367027,0.113519
6,42,0.144069,0.757145,312.076688,100.500919,0.043987
6,43,0.186225,0.717591,304.744894,251.472619,0.110064
6,44,0.191722,0.731778,249.224469,113.712882,0.049770
6,45,0.143482,0.744040,412.624148,236.843253,0.103661
6,46,0.176340,0.711416,270.160675,129.527709,0.056691
6,47,0.142982,0.717519,372.864113,163.351366,0.071495
6,48,0.192509,0.731630,248.189888,108.032605,0.047283
6,49,0.186657,0.753043,373.287944,291.500819,0.127583
6,50,0.155364,0.735583,367.523143,328.993211,0.143993
6,51,0.156729,0.761234,413.054631,267.249865,0.116969
6,52,0.907475,0.708710,251.208464,161.369315,0.070628
6,53,0.172125,0.725155,266.661934,109.901076,0.048101
6,54,0.501583,0.830095,205.694562,121.857709,0.053334
6,55,0.131782,0.746863,505.429035,300.698821,0.131609
6,56,0.194939,0.748588,243.928811,106.833367,0.046759
6,57,0.378961,0.710240,260.606630,154.829238,0.067765
6,58,0.287923,0.867386,213.732747,122.263295,0.053512
6,59,0.144451,0.728556,384.300158,195.716501,0.085661
6,60,0.192474,0.752547,244.692789,107.911281,0.047230
6,61,0.135532,0.733282,385.562721,113.740735,0.049782
6,62,0.160670,0.707398,303.747430,163.987554,0.071774
6,63,0.148295,0.707137,329.471576,137.140115,0.060023
6,64,0.163633,0.769505,422.546073,299.346475,0.131017
6,65,0.139999,0.720203,392.446590,188.622257,0.082556
6,66,0.141992,0.719480,380.865514,170.743439,0.074730
6,67,0.521604,0.773433,396.701108,535.040379,0.234175
6,68,0.374332,0.713952,270.353279,181.177109,0.079297
6,69,0.157972,0.720932,338.132794,229.867951,0.100608
7,8,0.460821,0.983492,808.253160,742.950629,0.325172
7,9,0.128318,0.353300,589.298558,478.550331,0.209450
7,10,0.191856,0.686095,676.427965,477.195212,0.208857
7,11,0.763897,0.833042,800.655365,668.837576,0.292735
7,12,0.291743,0.704442,961.605395,581.799965,0.254640
7,13,0.196240,0.842854,918.117822,672.458761,0.294320
7,14,0.360085,0.728329,862.448952,573.055952,0.250813
7,15,0.277884,0.841233,851.719981,635.087559,0.277963
7,16,0.925763,0.704320,928.798152,526.557990,0.230462
7,17,0.256143,0.889635,862.621550,685.151804,0.299875
7,18,0.285988,0.732540,717.394019,551.961542,0.241581
7,19,0.273766,0.646683,808.041929,570.649360,0.249760
7,20,0.544755,0.742779,763.041453,634.480937,0.277698
7,21,0.405649,0.762875,783.404784,592.619663,0.259376
7,22,0.176658,0.884578,848.285795,716.239061,0.313481
7,23,0.316580,0.817560,840.872270,615.107485,0.269218
7,24,0.409850,0.556457,809.189256,414.767519,0.181534
7,25,0.239603,0.811443,883.970656,637.903066,0.279196
7,26,0.592299,0.932195,789.198520,701.288947,0.306938
7,27,0.529785,0.928929,790.235086,704.654294,0.308411
7,28,0.133982,0.809084,1532.352568,659.028902,0.288442
7,29,0.905239,0.819728,794.649122,686.011495,0.300251
7,30,0.436291,0.764709,1544.053973,1043.347248,0.456649
7,31,0.418863,0.840406,819.534335,603.810732,0.264274
7,32,0.482824,0.763927,841.660081,552.158464,0.241667
7,33,0.400458,0.820922,830.924010,614.019102,0.268742
7,34,0.451439,0.787883,834.544407,549.094834,0.240326
7,35,0.717341,0.825667,814.949526,618.497029,0.270702
7,36,0.228383,0.707053,1008.627579,565.101527,0.247332
7,37,0.236019,0.804916,890.200189,651.531116,0.285160
7,38,0.503412,0.722098,887.197474,616.438817,0.269801
7,39,0.195804,0.722701,992.642673,586.839948,0.256846
7,40,0.430565,0.807547,831.698429,585.539319,0.256277
7,41,0.933227,0.770252,828.840719,543.309534,0.237794
7,42,0.318149,0.895308,822.456700,661.282063,0.289428
7,43,0.513080,0.786437,831.878879,535.419068,0.234341
7,44,0.533246,0.885967,813.737932,696.923488,0.305027
7,45,0.309165,0.750068,877.522385,601.274382,0.263164
7,46,0.474321,0.853213,819.891902,626.863285,0.274364
7,47,0.306073,0.787259,859.206140,656.656603,0.287404
7,48,0.536336,0.884265,812.160439,677.553551,0.296550
7,49,0.514946,0.733789,855.791117,556.738193,0.243672
7,50,0.377197,0.758987,856.955111,501.272112,0.219395
7,51,0.384248,0.734196,877.702318,605.765632,0.265130
7,52,1.011949,0.811424,814.048221,612.384585,0.268027
7,53,0.456595,0.878072,819.203631,669.795589,0.293154
7,54,0.950274,0.947137,801.408019,727.340561,0.318340
7,55,0.225502,0.747151,924.764281,538.923855,0.235875
7,56,0.544472,0.901483,812.127333,687.995062,0.301120
7,57,0.877780,0.806414,817.262821,632.567929,0.276860
7,58,0.768443,0.961568,803.600870,729.077629,0.319101
7,59,0.315104,0.769155,864.723936,622.977591,0.272663
7,60,0.535863,0.904606,812.372600,693.066082,0.303339
7,61,0.254794,0.887543,865.289014,697.973929,0.305487
7,62,0.404016,0.821749,832.033856,599.611867,0.262436
7,63,0.338149,0.826229,841.785752,644.018504,0.281872
7,64,0.418268,0.728332,882.400930,587.464112,0.257120
7,65,0.286391,0.782455,868.332298,609.246823,0.266653
7,66,0.299535,0.783864,863.219411,642.666214,0.281280
7,67,0.957831,0.725518,870.228584,460.244028,0.201438
7,68,0.873748,0.795472,820.425749,602.134314,0.263540
7,69,0.390560,0.780884,845.072547,561.055335,0.245561
8,9,0.129777,0.988453,934.865330,1147.121638,0.502069
8,10,0.132818,0.943058,368.954703,413.675139,0.181056
8,11,0.140837,0.859400,131.596140,106.070227,0.046425
8,12,0.134712,0.976868,553.766983,479.047515,0.209668
8,13,0.111973,0.894632,434.503827,109.471308,0.047913
8,14,0.148673,0.969029,379.171983,324.755027,0.142138
8,15,0.138569,0.931217,341.768972,154.714251,0.067715
8,16,0.440726,0.982775,502.445243,604.192390,0.264441
8,17,0.135488,0.900990,359.954301,87.432744,0.038267
8,18,0.145943,0.953083,301.842545,255.237743,0.111712
8,19,0.138527,0.963535,390.328655,235.758102,0.103186
8,20,0.197229,0.935078,225.898062,125.741871,0.055034
8,21,0.163868,0.953345,278.991828,222.171657,0.097239
8,22,0.128018,0.873756,486.104404,73.150041,0.032016
8,23,0.123149,0.933126,278.809600,189.212623,0.082814
