node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
8,23,0.226418,0.656013,40.197932,29.561068,0.106205
8,24,0.365349,0.685819,52.425686,54.352703,0.195276
8,25,0.350429,0.664634,27.279050,24.581881,0.088317
8,26,0.158728,0.635406,50.509958,52.238116,0.187678
8,27,0.145475,0.783029,169.593632,34.107314,0.122539
8,28,0.630392,0.718991,82.692486,57.934911,0.208146
8,29,1.121727,0.675854,66.657920,45.833309,0.164668
8,30,1.041263,0.762397,104.611824,75.723168,0.272054
8,31,0.167896,0.709854,44.668090,23.286510,0.083663
8,32,0.162886,0.694146,47.644936,22.700506,0.081557
8,33,0.182585,0.719937,50.062884,30.322085,0.108940
8,34,0.170379,0.706170,48.282829,28.766595,0.103351
8,35,0.173557,0.708200,37.383755,29.783123,0.107003
8,36,0.162796,0.689489,47.286665,25.229179,0.090642
8,37,0.166092,0.728093,57.843768,35.109184,0.126138
8,38,0.186693,0.745848,58.073663,42.537581,0.152827
8,39,0.157464,0.926653,54.293924,38.560282,0.138537
8,40,0.189135,0.709443,39.151984,24.010797,0.086265
8,41,0.186549,0.771358,36.327121,31.323326,0.112537
8,42,0.208649,0.740397,54.194568,36.731152,0.131966
8,43,0.313585,0.807866,103.562544,89.986110,0.323297
8,44,0.146754,0.698688,165.064588,31.738458,0.114028
8,45,0.145861,0.704312,115.014642,46.028914,0.165370
8,46,0.155458,0.850274,129.822499,95.662389,0.343691
8,47,0.346643,0.835117,118.744686,118.489702,0.425704
8,48,0.149450,0.883149,77.573823,37.192163,0.133622
9,10,0.228466,0.485945,28.389092,29.533358,0.106106
9,11,0.158820,0.718201,53.756166,30.914978,0.111070
9,12,0.157417,0.713837,55.438858,35.836121,0.128750
9,13,0.151522,0.551599,34.896796,17.763791,0.063821
9,14,0.152655,0.621218,47.166634,40.526575,0.145602
9,15,0.158791,0.670520,39.976772,16.025387,0.057575
9,16,0.161415,0.694427,43.294271,19.492079,0.070030
9,17,0.163991,0.689995,41.569005,19.868589,0.071383
9,18,0.153476,0.692176,55.099534,20.875240,0.074999
9,19,0.171403,0.733056,49.368195,45.406554,0.163134
9,20,0.191980,0.741861,48.055175,42.630588,0.153161
9,21,0.154874,0.709451,59.188416,28.740649,0.103258
9,22,0.197305,0.780710,59.193510,54.451835,0.195632
9,23,0.228978,0.694284,39.296190,37.584646,0.135032
9,24,0.358284,0.736271,52.573784,65.296876,0.234595
9,25,0.347288,0.658122,24.761287,14.533599,0.052216
9,26,0.165291,0.694176,51.723289,63.907526,0.229604
9,27,0.145448,0.747472,169.240561,19.951328,0.071680
9,28,0.578869,0.755825,83.053251,61.528260,0.221056
9,29,1.022955,0.714152,66.726754,47.722107,0.171454
9,30,0.941559,0.796223,105.223677,80.662317,0.289799
9,31,0.166235,0.704752,42.396747,17.313554,0.062203
9,32,0.162342,0.701524,45.830555,20.115852,0.072271
9,33,0.179578,0.742189,48.022446,28.072254,0.100857
9,34,0.168274,0.719039,46.142055,22.472506,0.080738
9,35,0.175118,0.700257,35.205099,18.918533,0.067970
9,36,0.163808,0.710589,45.873502,30.111775,0.108184
9,37,0.164310,0.752566,56.079911,41.592354,0.149431
9,38,0.183289,0.773266,56.294616,49.843405,0.179075
9,39,0.156322,0.909504,52.336049,25.086522,0.090130
9,40,0.185584,0.705744,36.427402,17.838154,0.064088
9,41,0.183180,0.745286,33.361793,18.964801,0.068136
9,42,0.203531,0.766641,52.260448,41.931127,0.150648
9,43,0.305637,0.840004,103.514116,98.487275,0.353840
9,44,0.146805,0.685913,164.791876,20.140368,0.072359
9,45,0.146785,0.742492,115.427244,54.639084,0.196304
9,46,0.156380,0.877519,129.635383,101.618260,0.365089
9,47,0.336815,0.867682,119.076132,128.599908,0.462027
