beta1	beta2	beta3	lmax
1.711662e+01	1.492863e+01	2.401871e+01	-9.410339
1.711668e+01	1.492864e+01	2.401863e+01	-9.410339
1.711674e+01	1.492863e+01	2.401858e+01	-9.410341
1.711679e+01	1.492861e+01	2.401853e+01	-9.410342
1.711685e+01	1.492861e+01	2.401849e+01	-9.410339
1.711691e+01	1.492858e+01	2.401840e+01	-9.410338
1.711696e+01	1.492857e+01	2.401836e+01	-9.410341
1.711702e+01	1.492856e+01	2.401830e+01	-9.410337
1.711708e+01	1.492855e+01	2.401826e+01	-9.410336
1.711713e+01	1.492854e+01	2.401821e+01	-9.410343
1.711719e+01	1.492852e+01	2.401815e+01	-9.410339
1.711725e+01	1.492852e+01	2.401809e+01	-9.410339
1.711731e+01	1.492849e+01	2.401804e+01	-9.410337
1.711736e+01	1.492847e+01	2.401798e+01	-9.410337
1.711742e+01	1.492847e+01	2.401791e+01	-9.410337
1.711748e+01	1.492847e+01	2.401787e+01	-9.410340
1.711753e+01	1.492844e+01	2.401782e+01	-9.410341
1.711759e+01	1.492844e+01	2.401776e+01	-9.410341
1.711765e+01	1.492843e+01	2.401773e+01	-9.410339
1.711771e+01	1.492841e+01	2.401765e+01	-9.410339
1.711776e+01	1.492840e+01	2.401760e+01	-9.410339
1.711782e+01	1.492839e+01	2.401753e+01	-9.410338
1.711788e+01	1.492838e+01	2.401750e+01	-9.410339
1.711793e+01	1.492836e+01	2.401744e+01	-9.410337
1.711799e+01	1.492835e+01	2.401738e+01	-9.410336
1.711805e+01	1.492833e+01	2.401733e+01	-9.410336
1.711810e+01	1.492832e+01	2.401728e+01	-9.410336
1.711816e+01	1.492832e+01	2.401723e+01	-9.410340
1.711822e+01	1.492831e+01	2.401718e+01	-9.410337
1.711828e+01	1.492829e+01	2.401712e+01	-9.410339
1.711833e+01	1.492828e+01	2.401707e+01	-9.410339
1.711839e+01	1.492827e+01	2.401701e+01	-9.410337
1.711845e+01	1.492824e+01	2.401696e+01	-9.410336
1.711850e+01	1.492824e+01	2.401690e+01	-9.410337
1.711856e+01	1.492824e+01	2.401687e+01	-9.410337
1.711862e+01	1.492821e+01	2.401680e+01	-9.410335
1.711868e+01	1.492822e+01	2.401675e+01	-9.410337
1.711873e+01	1.492819e+01	2.401669e+01	-9.410337
1.711879e+01	1.492817e+01	2.401664e+01	-9.410336
1.711885e+01	1.492816e+01	2.401659e+01	-9.410336
1.711890e+01	1.492816e+01	2.401654e+01	-9.410337
1.711896e+01	1.492813e+01	2.401648e+01	-9.410335
1.711902e+01	1.492813e+01	2.401642e+01	-9.410335
1.711907e+01	1.492811e+01	2.401636e+01	-9.410336
1.711913e+01	1.492810e+01	2.401630e+01	-9.410338
1.711919e+01	1.492809e+01	2.401625e+01	-9.410335
1.711925e+01	1.492807e+01	2.401620e+01	-9.410335
1.711930e+01	1.492806e+01	2.401615e+01	-9.410335
1.711936e+01	1.492804e+01	2.401610e+01	-9.410334
1.711942e+01	1.492804e+01	2.401604e+01	-9.410336
