beta1	beta2	beta3	dist	lmax
1.680463621136453e+01	1.499708264774394e+01	2.433275445628561e+01	7.372471157107601	-9.407016406405926
1.680243983031375e+01	1.499757187097389e+01	2.433510234810591e+01	7.374699082749855	-9.406964579714177
1.680026013271904e+01	1.499806109420383e+01	2.433743653520874e+01	7.376913532790976	-9.406912963838735
1.679805980206836e+01	1.499855031743378e+01	2.433978870542636e+01	7.379147321068752	-9.406859044837173
1.679587990607620e+01	1.499903954066373e+01	2.434212955221233e+01	7.381369574310537	-9.406807425109594
1.679370008999265e+01	1.499952876389367e+01	2.434446606028004e+01	7.383588477829528	-9.406753357627055
1.679149731841875e+01	1.500001798712362e+01	2.434682944347636e+01	7.385835309376299	-9.406699062875589
1.678930868573945e+01	1.500050721035356e+01	2.434918064149275e+01	7.388070278164482	-9.406644617046169
1.678713417717707e+01	1.500099643358351e+01	2.435152217994896e+01	7.390295754591050	-9.406590857108981
1.678494010533442e+01	1.500148565681346e+01	2.435387975833858e+01	7.392538680800705	-9.406534480973313
1.678276662959743e+01	1.500197488004340e+01	2.435622459613220e+01	7.394768679187702	-9.406480041626452
1.678058478124511e+01	1.500246410327335e+01	2.435857516385378e+01	7.397005503719119	-9.406423502886916
1.677839105929395e+01	1.500295332650330e+01	2.436094079212990e+01	7.399258249158187	-9.406366675825730
1.677621314552825e+01	1.500344254973324e+01	2.436329282798965e+01	7.401497633686536	-9.406309859666404
1.677403188065982e+01	1.500393177296319e+01	2.436565154361258e+01	7.403744338074314	-9.406252989577826
1.677185588364474e+01	1.500442099619314e+01	2.436800499488728e+01	7.405986387065116	-9.406195182797124
1.676966462144686e+01	1.500491021942308e+01	2.437037405684944e+01	7.408245164405801	-9.406136061286416
1.676749759859760e+01	1.500539944265303e+01	2.437272377532139e+01	7.410484434610810	-9.406078054202215
1.676532366935157e+01	1.500588866588298e+01	2.437508186654792e+01	7.412732912762022	-9.406019297807219
1.676315330970908e+01	1.500637788911292e+01	2.437743569128649e+01	7.414977805411842	-9.405959347679342
1.676094999245052e+01	1.500686711234287e+01	2.437983032573193e+01	7.417264696944799	-9.405900033111148
1.675878016902540e+01	1.500735633557282e+01	2.438218774046929e+01	7.419514412173755	-9.405839307288469
1.675659326969118e+01	1.500784555880276e+01	2.438456749432529e+01	7.421787378774956	-9.405778771457882
1.675444909568563e+01	1.500833478203271e+01	2.438690189074160e+01	7.424014679352405	-9.405717474077354
1.675225334079508e+01	1.500882400526265e+01	2.438929348143175e+01	7.426301039960113	-9.405655530355890
1.675006963192679e+01	1.500931322849260e+01	2.439167639457546e+01	7.428578936218240	-9.405593931324306
1.674790017389732e+01	1.500980245172255e+01	2.439404753031254e+01	7.430845243354804	-9.405532464809490
1.674570943450238e+01	1.501029167495249e+01	2.439643601583229e+01	7.433130474208971	-9.405468052780805
1.674356799083554e+01	1.501078089818244e+01	2.439878232647836e+01	7.435372416485877	-9.405406307938481
1.674138153963141e+01	1.501127012141239e+01	2.440117770178728e+01	7.437665253638955	-9.405343490136895
1.673919879467528e+01	1.501175934464233e+01	2.440356662648722e+01	7.439952421168258	-9.405278822651347
1.673703044381323e+01	1.501224856787228e+01	2.440594422069211e+01	7.442228384831695	-9.405214509211286
1.673485761494365e+01	1.501273779110223e+01	2.440832872901982e+01	7.444511991531940	-9.405149777418869
1.673267874815808e+01	1.501322701433217e+01	2.441072002310160e+01	7.446803259108788	-9.405084028269716
1.673052180550026e+01	1.501371623756212e+01	2.441309014022509e+01	7.449073353117696	-9.405018148548203
1.672834807237113e+01	1.501420546079207e+01	2.441548484263051e+01	7.451368847800440	-9.404953172113945
1.672618636479692e+01	1.501469468402201e+01	2.441786112632300e+01	7.453646624484623	-9.404885469587754
1.672400310698742e+01	1.501518390725196e+01	2.442026877380762e+01	7.455956633238424	-9.404819136470881
1.672183868650863e+01	1.501567313048191e+01	2.442265600404214e+01	7.458246432964987	-9.404751852688838
1.671968718297225e+01	1.501616235371185e+01	2.442503208127680e+01	7.460525278757306	-9.404684511935816
1.671750010407734e+01	1.501665157694180e+01	2.442744677882164e+01	7.462844466381589	-9.404615860627729
1.671534134797297e+01	1.501714080017175e+01	2.442983566348833e+01	7.465137488896660	-9.404547920184463
1.671317872675916e+01	1.501763002340169e+01	2.443222909120211e+01	7.467435863262036	-9.404478998230797
